Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
,-720.8,1767099005430682,2,CYCLE_SYNC,"Cycle=0,From=4,Hop=1,RSSI=-101",2025-12-30 21:01:39.708576
28,-720.0,1767099006286290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:40.537797
29,-717.8,1767099008446284,4,BIDIR_LINK,"NodeID:1,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:42.788821
,-717.8,1767099008446414,4,CYCLE_SYNC,"Cycle=1,From=1,Hop=0,RSSI=-100",2025-12-30 21:01:42.788821
30,-716.3,1767099009932540,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:44.200446
,-716.3,1767099009932668,2,CYCLE_SYNC,"Cycle=1,From=4,Hop=1,RSSI=-101",2025-12-30 21:01:44.200446
31,-715.5,1767099010789290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:45.037739
32,-713.3,1767099012949284,4,BIDIR_LINK,"NodeID:1,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:47.199400
,-713.3,1767099012949414,4,CYCLE_SYNC,"Cycle=2,From=1,Hop=0,RSSI=-100",2025-12-30 21:01:47.307412
33,-711.8,1767099014435584,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:48.792042
,-711.8,1767099014435751,2,CYCLE_SYNC,"Cycle=2,From=4,Hop=1,RSSI=-101",2025-12-30 21:01:48.793394
34,-711.0,1767099015312290,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:49.561547
,-710.9,1767099015322657,4,FORWARD_ENQUEUE,"Msg:661,From:2,Hop:2,NextHop:TBD",2025-12-30 21:01:49.778051
35,-708.8,1767099017452296,4,BIDIR_LINK,"NodeID:1,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 21:01:51.701247
,-708.8,1767099017452437,4,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-100",2025-12-30 21:01:51.703261
36,0.0,1767099726264824,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:05.604088
37,0.0,1767099726296837,1,BIDIR_LINK,"NodeID:4,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:05.604088
38,0.6,1767099726898586,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:06.226410
39,1.1,1767099727373298,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:06.705181
40,2.6,1767099728890581,4,BIDIR_LINK,"NodeID:1,RSSI:-88dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:08.219056
,2.6,1767099728890709,4,CYCLE_SYNC,"Cycle=3,From=1,Hop=0,RSSI=-88",2025-12-30 20:02:08.394813
41,2.7,1767099728973830,2,BIDIR_LINK,"NodeID:3,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:08.394813
42,4.5,1767099730767835,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:10.215344
43,4.5,1767099730799821,1,BIDIR_LINK,"NodeID:4,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:10.214355
44,5.1,1767099731376824,3,NEIGHBOR_REMOVED,"NodeID:1,Reason:INACTIVE,Duration:20000ms,RSSI:-84dBm,WasBidir:YES",2025-12-30 20:02:10.876008
45,5.1,1767099731401586,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:10.876008
46,5.6,1767099731877320,3,BIDIR_LINK,"NodeID:2,RSSI:-87dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:11.207953
47,7.1,1767099733393615,4,BIDIR_LINK,"NodeID:1,RSSI:-88dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:12.763276
,7.1,1767099733393763,4,CYCLE_SYNC,"Cycle=4,From=1,Hop=0,RSSI=-88",2025-12-30 20:02:12.763276
48,7.2,1767099733477829,2,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:12.847657
49,8.0,1767099734290447,2,NEIGHBOR_REMOVED,"NodeID:1,Reason:INACTIVE,Duration:20000ms,RSSI:-99dBm,WasBidir:NO",2025-12-30 20:02:13.626972
50,9.0,1767099735291842,2,BIDIR_LINK,"NodeID:4,RSSI:-101dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:14.629069
51,9.1,1767099735323820,1,BIDIR_LINK,"NodeID:4,RSSI:-97dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:14.629069
,9.1,1767099735324326,1,GW_RX_DATA,"Msg:1057,From:4,Hops:1,Route:[4>GW],Lat:134.6ms,RSSI:-97,TS:1767099735324073",2025-12-30 20:02:14.630074
52,9.6,1767099735880772,3,HOP_CHANGE,"Old=1,New=2",2025-12-30 20:02:15.401366
53,9.6,1767099735905588,4,BIDIR_LINK,"NodeID:2,RSSI:-100dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:15.401366
54,10.1,1767099736381258,3,BIDIR_LINK,"NodeID:2,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:15.902467
,10.1,1767099736381397,3,CYCLE_SYNC,"Cycle=0,From=2,Hop=1,RSSI=-86",2025-12-30 20:02:15.902467
55,11.6,1767099737896581,4,BIDIR_LINK,"NodeID:1,RSSI:-88dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:17.372122
,11.6,1767099737896702,4,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-88",2025-12-30 20:02:17.373122
56,11.7,1767099737980829,2,BIDIR_LINK,"NodeID:3,RSSI:-86dBm,Status:BIDIRECTIONAL",2025-12-30 20:02:17.374121
57,12.5,1767099738794424,2,HOP_CHANGE,"Old=1,New=2",2025-12-30 20:02:18.195919
