Operation,Relative_Time_S,Timestamp_US,Node_ID,Type,Details,Received_Time
31,9.2,1767178307673083,4,BIDIR_LINK,"NodeID:2,RSSI:-76dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:45.770776
32,9.2,1767178307674989,1,BIDIR_LINK,"NodeID:2,RSSI:-46dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:45.769775
33,9.2,1767178307695647,6,BIDIR_LINK,"NodeID:2,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:45.770776
34,9.7,1767178308155942,5,NEIGHBOR_ADDED,"NodeID:3,RSSI:-54dBm,Slot:3,Hop:1",2025-12-31 17:51:46.496571
35,9.7,1767178308155993,5,BIDIR_LINK,"NodeID:3,RSSI:-54dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.497572
36,9.7,1767178308161006,4,NEIGHBOR_ADDED,"NodeID:3,RSSI:-70dBm,Slot:3,Hop:1",2025-12-31 17:51:46.497572
37,9.7,1767178308161057,4,BIDIR_LINK,"NodeID:3,RSSI:-70dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.497572
38,9.7,1767178308162005,1,BIDIR_LINK,"NodeID:3,RSSI:-58dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.497572
39,9.7,1767178308179269,2,BIDIR_LINK,"NodeID:3,RSSI:-41dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.496571
40,9.7,1767178308183612,6,BIDIR_LINK,"NodeID:3,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.497572
41,10.2,1767178308635969,1,BIDIR_LINK,"NodeID:4,RSSI:-52dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.716566
42,10.2,1767178308636020,1,BIDIR_LINK,"NodeID:4,RSSI:-52dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.907914
43,10.2,1767178308636063,1,BIDIR_LINK,"NodeID:4,RSSI:-52dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:46.908950
44,10.6,1767178309109047,4,NEIGHBOR_ADDED,"NodeID:5,RSSI:-51dBm,Slot:5,Hop:1",2025-12-31 17:51:47.206174
45,10.6,1767178309109096,4,BIDIR_LINK,"NodeID:5,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.322282
46,10.6,1767178309109139,4,BIDIR_LINK,"NodeID:5,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.323282
47,10.6,1767178309109183,4,BIDIR_LINK,"NodeID:5,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.323282
48,10.6,1767178309109225,4,BIDIR_LINK,"NodeID:5,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.323282
49,11.1,1767178309576957,5,NEIGHBOR_ADDED,"NodeID:6,RSSI:-48dBm,Slot:6,Hop:1",2025-12-31 17:51:47.814268
50,11.1,1767178309577010,5,BIDIR_LINK,"NodeID:6,RSSI:-48dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.815269
51,11.1,1767178309580578,3,BIDIR_LINK,"NodeID:6,RSSI:-49dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.815269
52,11.1,1767178309582002,4,NEIGHBOR_ADDED,"NodeID:6,RSSI:-56dBm,Slot:6,Hop:1",2025-12-31 17:51:47.814268
53,11.1,1767178309582053,4,BIDIR_LINK,"NodeID:6,RSSI:-56dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.815269
54,11.1,1767178309582984,1,BIDIR_LINK,"NodeID:6,RSSI:-60dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.815269
55,11.1,1767178309600245,2,BIDIR_LINK,"NodeID:6,RSSI:-52dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:47.814268
56,13.2,1767178311686964,5,BIDIR_LINK,"NodeID:1,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:49.785774
,13.2,1767178311687160,5,CYCLE_VAL,"Cycle=5,Progress=2/3,From=1,RSSI=-47",2025-12-31 17:51:49.785774
57,13.2,1767178311689591,3,BIDIR_LINK,"NodeID:1,RSSI:-56dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:49.784774
,13.2,1767178311689761,3,CYCLE_VAL,"Cycle=5,Progress=3/3,From=1,RSSI=-56",2025-12-31 17:51:49.784774
58,13.2,1767178311692017,4,BIDIR_LINK,"NodeID:1,RSSI:-48dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:49.784774
,13.2,1767178311692186,4,CYCLE_VAL,"Cycle=5,Progress=2/3,From=1,RSSI=-48",2025-12-31 17:51:49.784774
,13.2,1767178311697415,5,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-47",2025-12-31 17:51:49.879577
,13.2,1767178311700043,3,CYCLE_VAL,"VALIDATED! Cycle=5,AutoSend=READY",2025-12-31 17:51:49.878577
,13.2,1767178311700136,3,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-56",2025-12-31 17:51:49.878577
,13.2,1767178311702461,4,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-48",2025-12-31 17:51:49.879577
59,13.2,1767178311710266,2,BIDIR_LINK,"NodeID:1,RSSI:-44dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:49.784774
,13.2,1767178311710414,2,CYCLE_VAL,"Cycle=5,Progress=3/3,From=1,RSSI=-44",2025-12-31 17:51:49.785774
60,13.2,1767178311713638,6,BIDIR_LINK,"NodeID:1,RSSI:-55dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:49.784774
,13.2,1767178311713828,6,CYCLE_VAL,"Cycle=5,Progress=3/3,From=1,RSSI=-55",2025-12-31 17:51:49.784774
,13.2,1767178311720710,2,CYCLE_VAL,"VALIDATED! Cycle=5,AutoSend=READY",2025-12-31 17:51:49.879577
,13.2,1767178311720800,2,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-44",2025-12-31 17:51:49.879577
,13.2,1767178311724090,6,CYCLE_VAL,"VALIDATED! Cycle=5,AutoSend=READY",2025-12-31 17:51:49.785774
,13.2,1767178311724180,6,CYCLE_SYNC,"Cycle=5,From=1,Hop=0,RSSI=-55",2025-12-31 17:51:49.879577
61,13.7,1767178312171953,5,BIDIR_LINK,"NodeID:2,RSSI:-44dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.281356
62,13.7,1767178312174584,3,BIDIR_LINK,"NodeID:2,RSSI:-42dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.281356
63,13.7,1767178312176013,4,BIDIR_LINK,"NodeID:2,RSSI:-65dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.281356
64,13.7,1767178312177979,1,BIDIR_LINK,"NodeID:2,RSSI:-46dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.281356
65,13.7,1767178312198630,6,BIDIR_LINK,"NodeID:2,RSSI:-51dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.281356
66,14.2,1767178312658939,5,BIDIR_LINK,"NodeID:3,RSSI:-54dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.749151
67,14.2,1767178312664001,4,BIDIR_LINK,"NodeID:3,RSSI:-68dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.748150
68,14.2,1767178312665002,1,BIDIR_LINK,"NodeID:3,RSSI:-59dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.749151
69,14.2,1767178312682267,2,BIDIR_LINK,"NodeID:3,RSSI:-40dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.748150
70,14.2,1767178312686614,6,BIDIR_LINK,"NodeID:3,RSSI:-48dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:50.777667
71,14.7,1767178313132941,5,BIDIR_LINK,"NodeID:4,RSSI:-48dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.222284
72,14.7,1767178313135584,3,BIDIR_LINK,"NodeID:4,RSSI:-70dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.222284
73,14.7,1767178313138987,1,BIDIR_LINK,"NodeID:4,RSSI:-49dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.223286
74,14.7,1767178313156251,2,BIDIR_LINK,"NodeID:4,RSSI:-66dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.222284
75,14.7,1767178313159618,6,BIDIR_LINK,"NodeID:4,RSSI:-54dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.222284
76,15.1,1767178313609566,3,BIDIR_LINK,"NodeID:5,RSSI:-58dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.846981
77,15.1,1767178313612015,4,BIDIR_LINK,"NodeID:5,RSSI:-50dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.846981
78,15.1,1767178313612969,1,BIDIR_LINK,"NodeID:5,RSSI:-50dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.845977
79,15.1,1767178313630251,2,BIDIR_LINK,"NodeID:5,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.846981
80,15.2,1767178313633618,6,BIDIR_LINK,"NodeID:5,RSSI:-50dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:51.846981
81,15.6,1767178314079954,5,BIDIR_LINK,"NodeID:6,RSSI:-48dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:52.345761
82,15.6,1767178314083566,3,BIDIR_LINK,"NodeID:6,RSSI:-50dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:52.345761
83,15.6,1767178314084999,4,BIDIR_LINK,"NodeID:6,RSSI:-56dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:52.345761
84,15.6,1767178314086001,1,BIDIR_LINK,"NodeID:6,RSSI:-57dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:52.345761
85,15.6,1767178314103260,2,BIDIR_LINK,"NodeID:6,RSSI:-56dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:52.345761
86,17.7,1767178316189962,5,BIDIR_LINK,"NodeID:1,RSSI:-47dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.314302
,17.7,1767178316190132,5,CYCLE_VAL,"Cycle=0,Progress=3/3,From=1,RSSI=-47",2025-12-31 17:51:54.314302
87,17.7,1767178316192583,3,BIDIR_LINK,"NodeID:1,RSSI:-57dBm,Status:BIDIRECTIONAL",2025-12-31 17:51:54.314302
,17.7,1767178316192746,3,CYCLE_SYNC,"Cycle=0,From=1,Hop=0,RSSI=-57",2025-12-31 17:51:54.314302
